<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
EUR_RUB__TOM;D;20210901;000000;86.3000000;282054000
EUR_RUB__TOM;D;20210902;000000;86.5300000;248197000
EUR_RUB__TOM;D;20210903;000000;86.4000000;211240000
EUR_RUB__TOM;D;20210906;000000;86.6600000;261475000
EUR_RUB__TOM;D;20210907;000000;86.7350000;386103000
EUR_RUB__TOM;D;20210908;000000;86.4950000;427220000
EUR_RUB__TOM;D;20210909;000000;86.3000000;469074000
EUR_RUB__TOM;D;20210910;000000;86.4500000;288594000
EUR_RUB__TOM;D;20210913;000000;85.8000000;339399000
EUR_RUB__TOM;D;20210914;000000;86.1050000;426493000
EUR_RUB__TOM;D;20210915;000000;85.3700000;444905000
EUR_RUB__TOM;D;20210916;000000;85.4000000;410165000
EUR_RUB__TOM;D;20210917;000000;85.4100000;345652000
EUR_RUB__TOM;D;20210920;000000;86.0800000;429311000
EUR_RUB__TOM;D;20210921;000000;85.6350000;319512000
EUR_RUB__TOM;D;20210922;000000;85.4375000;330782000
EUR_RUB__TOM;D;20210923;000000;85.5100000;357584000
EUR_RUB__TOM;D;20210924;000000;85.2300000;320912000
EUR_RUB__TOM;D;20210927;000000;84.8000000;422115000
EUR_RUB__TOM;D;20210928;000000;85.0950000;474725000
EUR_RUB__TOM;D;20210929;000000;84.5000000;585340000
EUR_RUB__TOM;D;20210930;000000;84.1100000;434240000
EUR_RUB__TOM;D;20211001;000000;84.2900000;403864000
EUR_RUB__TOM;D;20211004;000000;84.2500000;377053000
EUR_RUB__TOM;D;20211005;000000;83.9850000;334029000
EUR_RUB__TOM;D;20211006;000000;83.6500000;396772000
EUR_RUB__TOM;D;20211007;000000;82.8200000;382290000
EUR_RUB__TOM;D;20211008;000000;83.1425000;315412000
EUR_RUB__TOM;D;20211011;000000;83.0275000;303206000
EUR_RUB__TOM;D;20211012;000000;82.8250000;894762000
EUR_RUB__TOM;D;20211013;000000;83.4750000;491351000
EUR_RUB__TOM;D;20211014;000000;82.7200000;438522000
EUR_RUB__TOM;D;20211015;000000;82.3900000;357711000
EUR_RUB__TOM;D;20211018;000000;82.7000000;385776000
EUR_RUB__TOM;D;20211019;000000;82.4300000;342076000
EUR_RUB__TOM;D;20211020;000000;82.5125000;377164000
EUR_RUB__TOM;D;20211021;000000;82.6550000;456730000
EUR_RUB__TOM;D;20211022;000000;81.8700000;489261000
EUR_RUB__TOM;D;20211025;000000;80.9025000;486341000
EUR_RUB__TOM;D;20211026;000000;80.6000000;579719000
EUR_RUB__TOM;D;20211027;000000;81.9250000;539636000
EUR_RUB__TOM;D;20211028;000000;82.0500000;607214000
EUR_RUB__TOM;D;20211029;000000;81.9200000;450396000
EUR_RUB__TOM;D;20211101;000000;82.9300000;320831000
EUR_RUB__TOM;D;20211102;000000;82.8000000;405069000
EUR_RUB__TOM;D;20211103;000000;83.2600000;530477000
EUR_RUB__TOM;D;20211105;000000;82.5000000;146958000
EUR_RUB__TOM;D;20211108;000000;82.4300000;386595000
EUR_RUB__TOM;D;20211109;000000;81.9000000;429510000
EUR_RUB__TOM;D;20211110;000000;81.6425000;455017000
EUR_RUB__TOM;D;20211111;000000;81.9675000;375511000
EUR_RUB__TOM;D;20211112;000000;83.2725000;626125000
EUR_RUB__TOM;D;20211115;000000;82.3800000;486425000
EUR_RUB__TOM;D;20211116;000000;82.7175000;518093000
EUR_RUB__TOM;D;20211117;000000;81.8675000;485319000
EUR_RUB__TOM;D;20211118;000000;82.8600000;451705000
EUR_RUB__TOM;D;20211119;000000;83.0150000;507278000
EUR_RUB__TOM;D;20211122;000000;83.8500000;519658000
EUR_RUB__TOM;D;20211123;000000;83.5000000;571436000
EUR_RUB__TOM;D;20211124;000000;83.9400000;421749000
EUR_RUB__TOM;D;20211125;000000;83.7450000;282010000
EUR_RUB__TOM;D;20211126;000000;85.5000000;552346000
EUR_RUB__TOM;D;20211129;000000;84.1875000;517113000
EUR_RUB__TOM;D;20211130;000000;83.9000000;611393000
EUR_RUB__TOM;D;20211201;000000;83.6800000;479956000
EUR_RUB__TOM;D;20211202;000000;83.3000000;458869000
EUR_RUB__TOM;D;20211203;000000;83.2650000;418226000
EUR_RUB__TOM;D;20211206;000000;83.8700000;461569000
EUR_RUB__TOM;D;20211207;000000;83.2000000;491718000
EUR_RUB__TOM;D;20211208;000000;83.4300000;478658000
EUR_RUB__TOM;D;20211209;000000;83.2400000;506000000
EUR_RUB__TOM;D;20211210;000000;82.7550000;446360000
EUR_RUB__TOM;D;20211213;000000;82.9300000;449918000
EUR_RUB__TOM;D;20211214;000000;83.0600000;359051000
EUR_RUB__TOM;D;20211215;000000;83.1100000;470020000
EUR_RUB__TOM;D;20211216;000000;83.5750000;500910000
EUR_RUB__TOM;D;20211217;000000;83.3300000;676307000
EUR_RUB__TOM;D;20211220;000000;83.5800000;473101000
EUR_RUB__TOM;D;20211221;000000;83.3350000;420630000
EUR_RUB__TOM;D;20211222;000000;83.5500000;610287000
EUR_RUB__TOM;D;20211223;000000;83.0500000;488859000
EUR_RUB__TOM;D;20211224;000000;83.2675000;313993000
EUR_RUB__TOM;D;20211227;000000;83.1700000;484352000
EUR_RUB__TOM;D;20211228;000000;83.3400000;384718000
EUR_RUB__TOM;D;20211229;000000;83.8800000;521502000
EUR_RUB__TOM;D;20211230;000000;84.5200000;589331000
EUR_RUB__TOM;D;20220103;000000;84.2600000;69017000
EUR_RUB__TOM;D;20220104;000000;84.9825000;77975000
EUR_RUB__TOM;D;20220105;000000;86.8200000;166303000
EUR_RUB__TOM;D;20220106;000000;86.1000000;225824000
EUR_RUB__TOM;D;20220107;000000;86.0275000;76253000
EUR_RUB__TOM;D;20220110;000000;84.9800000;528307000
EUR_RUB__TOM;D;20220111;000000;84.6750000;397871000
EUR_RUB__TOM;D;20220112;000000;85.4975000;541551000
EUR_RUB__TOM;D;20220113;000000;87.3275000;737688000
EUR_RUB__TOM;D;20220114;000000;86.9475000;605024000
EUR_RUB__TOM;D;20220117;000000;86.8350000;778122000
EUR_RUB__TOM;D;20220118;000000;87.1050000;544964000
EUR_RUB__TOM;D;20220119;000000;86.4525000;646327000
EUR_RUB__TOM;D;20220120;000000;86.7100000;474901000
EUR_RUB__TOM;D;20220121;000000;87.8675000;654257000
EUR_RUB__TOM;D;20220124;000000;89.1875000;882524000
EUR_RUB__TOM;D;20220125;000000;88.8000000;475466000
EUR_RUB__TOM;D;20220126;000000;89.4000000;502997000
EUR_RUB__TOM;D;20220127;000000;86.9700000;526076000
EUR_RUB__TOM;D;20220128;000000;86.6500000;572874000
EUR_RUB__TOM;D;20220131;000000;87.0000000;358603000
EUR_RUB__TOM;D;20220201;000000;86.4300000;388637000
EUR_RUB__TOM;D;20220202;000000;86.0000000;427860000
EUR_RUB__TOM;D;20220203;000000;87.3000000;575525000
EUR_RUB__TOM;D;20220204;000000;86.9300000;424554000
EUR_RUB__TOM;D;20220207;000000;86.2700000;408543000
EUR_RUB__TOM;D;20220208;000000;85.6525000;420490000
EUR_RUB__TOM;D;20220209;000000;85.3100000;411986000
EUR_RUB__TOM;D;20220210;000000;85.9700000;383990000
EUR_RUB__TOM;D;20220211;000000;87.5375000;480535000
EUR_RUB__TOM;D;20220214;000000;86.7200000;792305000
EUR_RUB__TOM;D;20220215;000000;85.5000000;699327000
EUR_RUB__TOM;D;20220216;000000;85.7000000;395733000
EUR_RUB__TOM;D;20220217;000000;86.5700000;571013000
EUR_RUB__TOM;D;20220218;000000;87.5500000;501611000
EUR_RUB__TOM;D;20220221;000000;90.1525000;850172000
EUR_RUB__TOM;D;20220222;000000;89.4500000;613563000
EUR_RUB__TOM;D;20220223;000000;91.7000000;132686000
EUR_RUB__TOM;D;20220224;000000;95.2075000;1284926000
EUR_RUB__TOM;D;20220225;000000;93.0000000;537126000
EUR_RUB__TOM;D;20220228;000000;106.0000000;920141000
EUR_RUB__TOM;D;20220301;000000;112.4900000;305897000
EUR_RUB__TOM;D;20220302;000000;115.4000000;422091000
EUR_RUB__TOM;D;20220303;000000;117.6000000;346759000
EUR_RUB__TOM;D;20220304;000000;118.9925000;198367000
EUR_RUB__TOM;D;20220309;000000;127.0000000;318416000
EUR_RUB__TOM;D;20220310;000000;125.0000000;274958000
EUR_RUB__TOM;D;20220311;000000;121.0300000;319815000
EUR_RUB__TOM;D;20220314;000000;119.9500000;355779000
EUR_RUB__TOM;D;20220315;000000;118.5000000;296950000
EUR_RUB__TOM;D;20220316;000000;117.6975000;158136000
EUR_RUB__TOM;D;20220317;000000;113.7150000;265851000
EUR_RUB__TOM;D;20220318;000000;114.8000000;293516000
EUR_RUB__TOM;D;20220321;000000;114.6375000;405410000
EUR_RUB__TOM;D;20220322;000000;114.5000000;311508000
EUR_RUB__TOM;D;20220323;000000;108.0100000;297379000
EUR_RUB__TOM;D;20220324;000000;106.8000000;360774000
EUR_RUB__TOM;D;20220325;000000;105.0000000;898356000
EUR_RUB__TOM;D;20220328;000000;96.6000000;718540000
EUR_RUB__TOM;D;20220329;000000;94.1050000;477505000
EUR_RUB__TOM;D;20220330;000000;94.1500000;484427000
EUR_RUB__TOM;D;20220331;000000;92.5000000;370371000
EUR_RUB__TOM;D;20220401;000000;92.9900000;402237000
EUR_RUB__TOM;D;20220404;000000;92.6625000;285416000
EUR_RUB__TOM;D;20220405;000000;91.5000000;331821000
EUR_RUB__TOM;D;20220406;000000;87.0000000;566455000
EUR_RUB__TOM;D;20220407;000000;81.4500000;637383000
EUR_RUB__TOM;D;20220408;000000;82.7025000;711136000
EUR_RUB__TOM;D;20220411;000000;86.2725000;380680000
EUR_RUB__TOM;D;20220412;000000;86.2500000;418553000
EUR_RUB__TOM;D;20220413;000000;86.4000000;485726000
EUR_RUB__TOM;D;20220414;000000;87.0000000;785667000
EUR_RUB__TOM;D;20220415;000000;85.3500000;554112000
EUR_RUB__TOM;D;20220418;000000;83.6800000;993962000
EUR_RUB__TOM;D;20220419;000000;84.0975000;394731000
EUR_RUB__TOM;D;20220420;000000;81.8975000;722947000
EUR_RUB__TOM;D;20220421;000000;80.2025000;747193000
EUR_RUB__TOM;D;20220422;000000;80.1500000;773627000
